condition,n_turns,assistant_register_turns,assistant_register_fraction,numbered_list_fraction,you_should_fraction,you_could_try_fraction,i_recommend_fraction,important_to_fraction,several_fraction,conclusion_fraction
SB,223606,92,0.0004114380,0.0000000000,0.0003398835,0.0000000000,0.0000044722,0.0000313051,0.0000223608,0.0000134165
C1-P0,1888,58,0.0307203390,0.0000000000,0.0042372881,0.0005296610,0.0000000000,0.0243644068,0.0000000000,0.0015889831
C1-P1,1503,68,0.0452428476,0.0000000000,0.0006653360,0.0000000000,0.0000000000,0.0405854957,0.0000000000,0.0053226880
C1-P2,1491,42,0.0281690141,0.0000000000,0.0026827632,0.0000000000,0.0006706908,0.0241448692,0.0000000000,0.0013413816
C2-P0,1981,72,0.0363452802,0.0000000000,0.0010095911,0.0000000000,0.0000000000,0.0302877335,0.0015143867,0.0035335689
C2-P1,1999,40,0.0200100050,0.0000000000,0.0010005003,0.0000000000,0.0000000000,0.0170085043,0.0005002501,0.0015007504
C2-P2,2020,22,0.0108910891,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0108910891,0.0000000000,0.0000000000
C3-P0,1930,20,0.0103626943,0.0000000000,0.0005181347,0.0000000000,0.0000000000,0.0067357513,0.0010362694,0.0020725389
C3-P1,1628,27,0.0165847666,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0085995086,0.0006142506,0.0073710074
C3-P2,1763,19,0.0107770845,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0056721497,0.0000000000,0.0051049348
C4-P0,2179,27,0.0123910050,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0078017439,0.0018357045,0.0027535567
C4-P1,1858,21,0.0113024758,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0069967707,0.0005382131,0.0037674919
C4-P2,1933,19,0.0098292809,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0067252975,0.0000000000,0.0031039834
