current_act,sd,b,sv,%,aa,ba,qy,x,ny,fc,qw,nn,bk,h,fo,bh,^q,bf,na,ad,^2,qo,qh,^h,ng,br,fp,qrr,arp,t3,oo,aap,bd,t1,^g,fa,ft,ar,no
sd,0.4365304227,0.2666860195,0.0639340455,0.0685090571,0.0244194148,0.0321063632,0.0228053878,0.0217951695,0.0013585694,0.0006154203,0.0078379006,0.0009057130,0.0095796563,0.0042150488,0.0037157455,0.0093241988,0.0046795170,0.0045053414,0.0001625639,0.0019623781,0.0043776126,0.0017649791,0.0015908035,0.0012772875,0.0001045053,0.0012192290,0.0001045053,0.0001857873,0.0002322341,0.0003135160,0.0004064097,0.0001973990,0.0001973990,0.0004644682,0.0004412448,0.0002670692,0.0000464468,0.0010450534,0.0001161170
b,0.5338034647,0.0809188001,0.2022586744,0.0740201339,0.0070008687,0.0155603250,0.0238642751,0.0098114365,0.0013286320,0.0024273085,0.0083295007,0.0008176197,0.0012519802,0.0059277429,0.0048801676,0.0005365629,0.0032960294,0.0045480096,0.0007665185,0.0042669528,0.0020951505,0.0033215801,0.0034237825,0.0016352394,0.0001277531,0.0001533037,0.0001788543,0.0001277531,0.0003066074,0.0002555062,0.0005365629,0.0002299555,0.0001533037,0.0002555062,0.0000766518,0.0002299555,0.0003321580,0.0006643160,0.0002810568
sv,0.1517335535,0.2600012700,0.2742252985,0.0745491491,0.1357315215,0.0144780290,0.0156210312,0.0202882906,0.0005080010,0.0012065024,0.0044450089,0.0002222504,0.0010795022,0.0081915164,0.0044767590,0.0028257557,0.0036195072,0.0035877572,0.0001587503,0.0020955042,0.0059690119,0.0024130048,0.0040005080,0.0008572517,0.0000317501,0.0011747523,0.0000000000,0.0000635001,0.0004445009,0.0001270003,0.0002857506,0.0011430023,0.0004445009,0.0002540005,0.0008890018,0.0001270003,0.0001270003,0.0025400051,0.0000635001
%,0.4015356536,0.1065517024,0.1793693750,0.0894958777,0.0370696708,0.0200138461,0.0566429605,0.0092516836,0.0079929511,0.0050349298,0.0161117754,0.0061677890,0.0023915917,0.0108880357,0.0039020706,0.0031468311,0.0016992888,0.0072377116,0.0032097678,0.0044685002,0.0036503241,0.0041538171,0.0041538171,0.0035244509,0.0017622254,0.0017622254,0.0001258732,0.0006923029,0.0013846057,0.0003776197,0.0008181761,0.0003146831,0.0001888099,0.0007552395,0.0000629366,0.0005664296,0.0002517465,0.0020139719,0.0012587325
aa,0.2742451155,0.0422735346,0.2792184725,0.0784191829,0.2261101243,0.0145648313,0.0171403197,0.0095026643,0.0001776199,0.0048845471,0.0052397869,0.0001776199,0.0013321492,0.0045293073,0.0035523979,0.0007104796,0.0019538188,0.0134991119,0.0000888099,0.0053285968,0.0031083481,0.0022202487,0.0036412078,0.0016873890,0.0000000000,0.0001776199,0.0002664298,0.0000000000,0.0002664298,0.0006216696,0.0007992895,0.0016873890,0.0002664298,0.0001776199,0.0000000000,0.0002664298,0.0007992895,0.0010657194,0.0000000000
ba,0.4667757105,0.0956859538,0.1249233286,0.1003884686,0.0523410346,0.0478429769,0.0312819464,0.0173788591,0.0014312002,0.0049069720,0.0147209160,0.0018401145,0.0004089143,0.0047025148,0.0044980577,0.0018401145,0.0008178287,0.0042936005,0.0010222858,0.0040891433,0.0010222858,0.0036802290,0.0036802290,0.0036802290,0.0002044572,0.0006133715,0.0002044572,0.0002044572,0.0002044572,0.0004089143,0.0008178287,0.0000000000,0.0008178287,0.0004089143,0.0000000000,0.0004089143,0.0004089143,0.0018401145,0.0002044572
qy,0.1264492194,0.0242695934,0.0289070954,0.0797650332,0.0055650023,0.0029370846,0.0561137734,0.0105116710,0.2777863657,0.0003091668,0.0069562529,0.1298500541,0.0009275004,0.0038645849,0.0052558355,0.0007729170,0.0001545834,0.0012366672,0.1010975421,0.0012366672,0.0024733344,0.0021641676,0.0012366672,0.0109754212,0.0352450147,0.0105116710,0.0000000000,0.0247333436,0.0154583398,0.0000000000,0.0003091668,0.0001545834,0.0000000000,0.0004637502,0.0018550008,0.0003091668,0.0000000000,0.0007729170,0.0293708456
x,0.5385237069,0.0325969828,0.1993534483,0.0546875000,0.0137392241,0.0134698276,0.0363685345,0.0202047414,0.0026939655,0.0059267241,0.0132004310,0.0024245690,0.0005387931,0.0096982759,0.0107758621,0.0013469828,0.0102370690,0.0026939655,0.0021551724,0.0083512931,0.0008081897,0.0037715517,0.0051185345,0.0035021552,0.0002693966,0.0005387931,0.0002693966,0.0008081897,0.0002693966,0.0005387931,0.0005387931,0.0008081897,0.0010775862,0.0002693966,0.0000000000,0.0008081897,0.0002693966,0.0008081897,0.0005387931
ny,0.4809335963,0.0723208416,0.0690335306,0.0575279421,0.0039447732,0.0295857988,0.0772518080,0.0108481262,0.0950032873,0.0006574622,0.0203813281,0.0032873110,0.0414201183,0.0019723866,0.0023011177,0.0039447732,0.0006574622,0.0026298488,0.0085470085,0.0029585799,0.0009861933,0.0026298488,0.0009861933,0.0026298488,0.0003287311,0.0006574622,0.0000000000,0.0023011177,0.0003287311,0.0006574622,0.0000000000,0.0000000000,0.0003287311,0.0003287311,0.0003287311,0.0000000000,0.0000000000,0.0016436555,0.0006574622
fc,0.0055342699,0.0034057046,0.0025542784,0.0221370796,0.0008514261,0.0000000000,0.0029799915,0.0055342699,0.0000000000,0.9386973180,0.0029799915,0.0000000000,0.0000000000,0.0000000000,0.0012771392,0.0000000000,0.0000000000,0.0004257131,0.0000000000,0.0017028523,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004257131,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0114942529,0.0000000000,0.0000000000
