current_act,sd,b,sv,%,aa,ba,qy,x,ny,fc,qw,nn,bk,h,fo,bh,^q,bf,na,ad,^2,qo,qh,^h,ng,br,fp,qrr,arp,t3,oo,aap,bd,t1,^g,fa,ft,ar,no
sd,0.4697474094,0.2982386818,0.0961661942,0.0000000000,0.0210607423,0.0278965929,0.0258616432,0.0000000000,0.0000000000,0.0022127609,0.0096215586,0.0070432970,0.0000000000,0.0048404145,0.0073791625,0.0086337189,0.0013237052,0.0020547066,0.0000098784,0.0031512086,0.0060850925,0.0017879898,0.0017781114,0.0016299355,0.0003062303,0.0008396637,0.0002074463,0.0013237052,0.0000000000,0.0000000000,0.0002667167,0.0000000000,0.0000000000,0.0002469599,0.0000000000,0.0002864735,0.0000000000,0.0000000000,0.0000000000
b,0.5565494493,0.1107508246,0.1867650621,0.0000000000,0.0316989993,0.0180019008,0.0273382904,0.0000000000,0.0000000000,0.0051434002,0.0103054360,0.0028512327,0.0000000000,0.0052552133,0.0060751756,0.0008945044,0.0014908406,0.0036898306,0.0000559065,0.0052924843,0.0183559755,0.0033357559,0.0026648777,0.0017144667,0.0003540747,0.0001118130,0.0001863551,0.0006522428,0.0000000000,0.0000000000,0.0001863551,0.0000000000,0.0000000000,0.0000745420,0.0000000000,0.0002049906,0.0000000000,0.0000000000,0.0000000000
sv,0.2915072686,0.3434072941,0.2280668197,0.0000000000,0.0475325172,0.0115404234,0.0198928845,0.0000000000,0.0000000000,0.0017852589,0.0066309615,0.0100102015,0.0000000000,0.0083205815,0.0029329253,0.0039530732,0.0019446570,0.0016896200,0.0000318796,0.0032836011,0.0073004336,0.0026778883,0.0024866106,0.0014983423,0.0005100740,0.0004781943,0.0001593981,0.0016258607,0.0000000000,0.0000000000,0.0002231574,0.0000000000,0.0000000000,0.0002869166,0.0000000000,0.0002231574,0.0000000000,0.0000000000,0.0000000000
%,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
aa,0.4446714870,0.1337629676,0.2370323798,0.0000000000,0.0664885256,0.0185476265,0.0240490412,0.0000000000,0.0000000000,0.0089594467,0.0102169129,0.0042439484,0.0000000000,0.0059729645,0.0066016976,0.0025149324,0.0009430997,0.0028292990,0.0000000000,0.0058157812,0.0161898774,0.0031436655,0.0034580321,0.0020433826,0.0001571833,0.0003143666,0.0004715498,0.0012574662,0.0000000000,0.0000000000,0.0001571833,0.0000000000,0.0000000000,0.0001571833,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ba,0.5197834236,0.1772178259,0.1259891712,0.0000000000,0.0129112870,0.0453977509,0.0331112037,0.0000000000,0.0000000000,0.0120783007,0.0193669304,0.0079133694,0.0000000000,0.0049979175,0.0058309038,0.0029154519,0.0012494794,0.0027072053,0.0000000000,0.0058309038,0.0093710954,0.0041649313,0.0022907122,0.0037484382,0.0006247397,0.0004164931,0.0002082466,0.0002082466,0.0000000000,0.0000000000,0.0008329863,0.0000000000,0.0000000000,0.0004164931,0.0000000000,0.0004164931,0.0000000000,0.0000000000,0.0000000000
qy,0.2828967643,0.3220338983,0.0556240370,0.0000000000,0.0311248074,0.0072419106,0.0563944530,0.0000000000,0.0000000000,0.0016949153,0.0090909091,0.1183359014,0.0000000000,0.0147919877,0.0038520801,0.0033898305,0.0007704160,0.0018489985,0.0013867488,0.0012326656,0.0050847458,0.0020030817,0.0027734977,0.0032357473,0.0115562404,0.0063174114,0.0003081664,0.0556240370,0.0000000000,0.0000000000,0.0004622496,0.0000000000,0.0000000000,0.0001540832,0.0000000000,0.0007704160,0.0000000000,0.0000000000,0.0000000000
x,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ny,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
fc,0.1325098259,0.1078046042,0.0263896687,0.0000000000,0.0089837170,0.0145985401,0.0196518810,0.0000000000,0.0000000000,0.5553060079,0.0123526109,0.0005614823,0.0000000000,0.0005614823,0.0976979225,0.0016844469,0.0005614823,0.0011229646,0.0000000000,0.0101066816,0.0022459293,0.0022459293,0.0005614823,0.0016844469,0.0000000000,0.0011229646,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0011229646,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0011229646,0.0000000000,0.0000000000,0.0000000000
qw,0.6184528606,0.0721192587,0.0697018533,0.0000000000,0.0068493151,0.0088638195,0.0890410959,0.0000000000,0.0000000000,0.0012087027,0.0378726833,0.0052377115,0.0000000000,0.0209508461,0.0068493151,0.0036261080,0.0008058018,0.0012087027,0.0004029009,0.0084609186,0.0064464142,0.0044319098,0.0060435133,0.0136986301,0.0016116035,0.0044319098,0.0004029009,0.0064464142,0.0000000000,0.0000000000,0.0008058018,0.0000000000,0.0000000000,0.0032232071,0.0000000000,0.0008058018,0.0000000000,0.0000000000,0.0000000000
nn,0.5624006359,0.0592209857,0.1343402226,0.0000000000,0.0290143084,0.0127186010,0.0258346582,0.0000000000,0.0000000000,0.0023847377,0.0027821940,0.1124801272,0.0000000000,0.0047694754,0.0055643879,0.0031796502,0.0011923688,0.0023847377,0.0000000000,0.0051669316,0.0083465819,0.0011923688,0.0023847377,0.0019872814,0.0206677266,0.0007949126,0.0000000000,0.0007949126,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003974563,0.0000000000,0.0000000000,0.0000000000
bk,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
h,0.4963343109,0.0931085044,0.2793255132,0.0000000000,0.0087976540,0.0080645161,0.0425219941,0.0000000000,0.0000000000,0.0014662757,0.0227272727,0.0051319648,0.0000000000,0.0161290323,0.0000000000,0.0021994135,0.0007331378,0.0007331378,0.0000000000,0.0043988270,0.0014662757,0.0073313783,0.0021994135,0.0043988270,0.0000000000,0.0000000000,0.0000000000,0.0007331378,0.0000000000,0.0000000000,0.0014662757,0.0000000000,0.0000000000,0.0007331378,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
fo,0.3870180576,0.0702781845,0.0688140556,0.0000000000,0.0078086872,0.0180575891,0.0941922889,0.0000000000,0.0000000000,0.1517813568,0.0517325525,0.0053684724,0.0000000000,0.0039043436,0.0463640800,0.0014641288,0.0039043436,0.0058565154,0.0000000000,0.0331869204,0.0087847731,0.0219619327,0.0024402147,0.0078086872,0.0000000000,0.0000000000,0.0039043436,0.0000000000,0.0000000000,0.0000000000,0.0019521718,0.0000000000,0.0000000000,0.0004880429,0.0000000000,0.0029282577,0.0000000000,0.0000000000,0.0000000000
bh,0.3935144610,0.4101665206,0.0560911481,0.0000000000,0.0148992112,0.0166520596,0.0333041192,0.0000000000,0.0000000000,0.0017528484,0.0297984224,0.0148992112,0.0000000000,0.0052585451,0.0043821209,0.0026292726,0.0000000000,0.0008764242,0.0000000000,0.0043821209,0.0026292726,0.0043821209,0.0026292726,0.0000000000,0.0000000000,0.0008764242,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008764242,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
^q,0.3213213213,0.3003003003,0.1681681682,0.0000000000,0.0390390390,0.0150150150,0.0210210210,0.0000000000,0.0000000000,0.0030030030,0.0120120120,0.0060060060,0.0000000000,0.0090090090,0.0120120120,0.0000000000,0.0480480480,0.0060060060,0.0000000000,0.0120120120,0.0090090090,0.0030030030,0.0090090090,0.0030030030,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0030030030,0.0000000000,0.0000000000,0.0000000000
