current_act,Statement,Opinion,Backchannel,YesNoQuestion,WhQuestion/OpenQuestion,Agreement,Answer,Directive,Repair/Hedge,Abandoned/Other
Statement,0.2551020408,0.2938775510,0.1530612245,0.0673469388,0.1061224490,0.0428571429,0.0020408163,0.0204081633,0.0040816327,0.0551020408
Opinion,0.2019704433,0.3809523810,0.0509031199,0.0574712644,0.1330049261,0.1379310345,0.0000000000,0.0016420361,0.0000000000,0.0361247947
Backchannel,0.2222222222,0.3333333333,0.0085470085,0.1367521368,0.2564102564,0.0000000000,0.0000000000,0.0170940171,0.0000000000,0.0256410256
YesNoQuestion,0.4601226994,0.3558282209,0.0184049080,0.0613496933,0.0245398773,0.0552147239,0.0061349693,0.0000000000,0.0061349693,0.0122699387
WhQuestion/OpenQuestion,0.4149377593,0.2614107884,0.0124481328,0.1867219917,0.0871369295,0.0000000000,0.0041493776,0.0041493776,0.0041493776,0.0248962656
Agreement,0.1465517241,0.6982758621,0.0000000000,0.0775862069,0.0517241379,0.0172413793,0.0000000000,0.0086206897,0.0000000000,0.0000000000
Answer,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Directive,0.2500000000,0.2500000000,0.1000000000,0.0000000000,0.2500000000,0.0000000000,0.0000000000,0.0500000000,0.0000000000,0.1000000000
Repair/Hedge,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Abandoned/Other,0.1497326203,0.0320855615,0.0106951872,0.0802139037,0.2459893048,0.0000000000,0.0000000000,0.0213903743,0.0000000000,0.4598930481
