current_act,Statement,Opinion,Backchannel,YesNoQuestion,WhQuestion/OpenQuestion,Agreement,Answer,Directive,Repair/Hedge,Abandoned/Other
Statement,0.4417014638,0.0641949250,0.3168448584,0.0233446520,0.0112421420,0.0251342174,0.0039118065,0.0023631441,0.0159799018,0.0952828890
Opinion,0.1553530607,0.2742252985,0.2783845568,0.0165735331,0.0108585217,0.1373190246,0.0039687579,0.0023812548,0.0200342901,0.1009017018
Backchannel,0.5245124448,0.1867040190,0.1038896671,0.0261394246,0.0166145889,0.0121969615,0.0141148583,0.0049348131,0.0147182416,0.0961749811
YesNoQuestion,0.1341086412,0.0297364934,0.0301781245,0.0814073311,0.0108935669,0.0057412042,0.5810393052,0.0016193140,0.0290004416,0.0962755778
WhQuestion/OpenQuestion,0.4914285714,0.0977142857,0.0768571429,0.0854285714,0.0491428571,0.0265714286,0.0277142857,0.0045714286,0.0485714286,0.0920000000
Agreement,0.2774097961,0.2775841032,0.0600488060,0.0174307129,0.0110685027,0.2261635001,0.0020045320,0.0063622102,0.0230956946,0.0988321422
Answer,0.4830287206,0.0729534634,0.1548149286,0.0640454615,0.0170480725,0.0066042083,0.1142681616,0.0041468284,0.0093687606,0.0737213946
Directive,0.2282377919,0.0902335456,0.1486199575,0.0445859873,0.0414012739,0.2101910828,0.0159235669,0.0934182590,0.0201698514,0.1072186837
Repair/Hedge,0.3414049389,0.1493646608,0.0843922321,0.0469911292,0.0278110765,0.1666267082,0.0323663390,0.0026372573,0.0453128746,0.1030927835
Abandoned/Other,0.3766206695,0.1578771835,0.1080168425,0.0500270980,0.0263892942,0.0309334223,0.0182182015,0.0071288615,0.0229290866,0.2018593405
