current_act,Statement,Opinion,Backchannel,YesNoQuestion,WhQuestion/OpenQuestion,Agreement,Answer,Directive,Repair/Hedge,Abandoned/Other
Statement,0.4707376630,0.0964022685,0.3347052105,0.0271651373,0.0132231893,0.0211196881,0.0073549683,0.0034461029,0.0157339215,0.0101118507
Opinion,0.2934519255,0.2280668197,0.3589007906,0.0215187452,0.0117954603,0.0475325172,0.0105521551,0.0035067585,0.0195740882,0.0051007396
Backchannel,0.5519092678,0.1793671566,0.1431112006,0.0285215757,0.0174652708,0.0298637675,0.0039091336,0.0055533186,0.0282363600,0.0120629488
YesNoQuestion,0.2890384076,0.0571909167,0.3281469022,0.1077936641,0.0140173816,0.0313989347,0.1335856462,0.0016820858,0.0308382394,0.0063078217
WhQuestion/OpenQuestion,0.5361609570,0.1087547580,0.1193583469,0.1003262643,0.0524741707,0.0135943448,0.0076128331,0.0065252855,0.0454051115,0.0097879282
Agreement,0.4456145866,0.2370323798,0.1548255266,0.0253065074,0.0168186105,0.0664885256,0.0044011317,0.0059729645,0.0275070732,0.0160326941
Answer,0.5652490004,0.1308615049,0.0806979280,0.0268993093,0.0079970920,0.0276263177,0.1272264631,0.0047255543,0.0185387132,0.0101781170
Directive,0.3413284133,0.1162361624,0.2333948339,0.0470479705,0.0433579336,0.0461254613,0.0221402214,0.0442804428,0.0258302583,0.0802583026
Repair/Hedge,0.4278596637,0.1789495537,0.2379074113,0.0448411875,0.0265725555,0.0207598090,0.0095495121,0.0051899523,0.0402740295,0.0080963255
Abandoned/Other,0.2731719247,0.0484225972,0.1083394473,0.0599168501,0.0486671558,0.0078258743,0.0034238200,0.0237221815,0.0176082172,0.4089019320
