condition,architecture,prompt_level,analysis_role,n_primary_topics,n_sensitivity_topics,n_eligible_conversations,n_total_conversations,route_coverage,mean_generated_route_reuse,mean_pool_matched_human_reuse,mean_excess_route_reuse,excess_ci_low,excess_ci_high,mean_generated_above_human_nearest_p95_rate,sensitivity_excess_route_reuse_n_ge_2,sensitivity_ci_low,sensitivity_ci_high
C1-P0,C1,P0,primary,7,13,50,50,1.0,0.5034452179687502,0.2354613884448988,0.26798382952385147,0.2309038396271083,0.31716698986406666,0.9714285714285714,0.2532345275342231,0.2033598915248707,0.3018726987948605
C2-P0,C2,P0,primary,7,13,50,50,1.0,0.5004150930992574,0.2354613884448988,0.2649537046543586,0.21220819521457857,0.31229421688614295,1.0,0.24482854215910127,0.20944622071891802,0.28112905102204294
C3-P0,C3,P0,primary,7,13,50,50,1.0,0.4916091432717017,0.2354613884448988,0.25614775482680285,0.21012141311464927,0.3021650195294335,1.0,0.22544990166820925,0.18892829529136124,0.2630871446149273
C4-P0,C4,P0,primary,7,13,50,50,1.0,0.49073612245886744,0.2354613884448988,0.2552747340139686,0.21060511665572523,0.2984943369936622,1.0,0.22769350675449151,0.16687982209654423,0.2773455590317679
C1-P1,C1,P1,primary,7,13,50,50,1.0,0.5253837180265893,0.2354613884448988,0.2899223295816906,0.2448209305320309,0.3314664657457535,1.0,0.24376375716140067,0.1949152866619534,0.2880824570275884
C2-P1,C2,P1,primary,7,13,50,50,1.0,0.40884438986950417,0.2354613884448988,0.1733830014246054,0.13436672575950895,0.20953306941518332,0.9,0.1339207272002649,0.09512883695870195,0.17165017712378922
C3-P1,C3,P1,primary,7,13,50,50,1.0,0.5396546234294791,0.2354613884448988,0.30419323498458034,0.27219110181744777,0.3404982853365031,1.0,0.23396096291001045,0.1880629131072524,0.28208003900195827
C4-P1,C4,P1,primary,7,13,50,50,1.0,0.5185769077937655,0.2354613884448988,0.28311551934886675,0.24736054727082865,0.31938365206017305,1.0,0.2516510517006724,0.2213555967704309,0.2833416167719668
C1-P2,C1,P2,exploratory,7,13,50,50,1.0,0.5029640937463219,0.2354613884448988,0.2675027053014231,0.2237886613205619,0.31674255426721437,1.0,0.24079747246003358,0.19933769024562864,0.28251899339245146
C2-P2,C2,P2,exploratory,7,13,50,50,1.0,0.37998022109267676,0.2354613884448988,0.14451883264777798,0.1204233735739779,0.16980415530224133,0.880952380952381,0.12486563750968195,0.0977148595236955,0.1478528221567188
C3-P2,C3,P2,exploratory,7,13,50,50,1.0,0.5069250400444743,0.2354613884448988,0.2714636515995755,0.2347694093130475,0.3073070087879216,1.0,0.23389738876809954,0.17653426787518794,0.2850739196273785
C4-P2,C4,P2,exploratory,7,13,50,50,1.0,0.5155695293964824,0.2354613884448988,0.2801081409515836,0.24233355924327507,0.3140271890783107,1.0,0.23120522259666876,0.18480770670612728,0.27498109205411253
