condition,architecture,prompt_level,analysis_role,progress_index,progress_fraction,n_topics,mean_generated_pair_similarity,mean_human_pair_similarity,excess_progress_similarity,excess_ci_low,excess_ci_high
C1-P0,C1,P0,primary,0,0.0625,7,0.4262571497043472,0.33940074062803577,0.0868564090763114,0.02997856723597146,0.13190881882262145
C1-P0,C1,P0,primary,1,0.1875,7,0.4394881535713216,0.20408043053603592,0.2354077230352857,0.14474848769639212,0.32682878825936823
C1-P0,C1,P0,primary,2,0.3125,7,0.48248830261524106,0.18855986654437693,0.2939284360708641,0.2094602206117538,0.38044283057660755
C1-P0,C1,P0,primary,3,0.4375,7,0.45799974676937977,0.17486266916597099,0.28313707760340884,0.17899537918383265,0.40730524276405894
C1-P0,C1,P0,primary,4,0.5625,7,0.374287472864197,0.16969774204622975,0.20458973081796725,0.16723494830510327,0.23717811139794562
C1-P0,C1,P0,primary,5,0.6875,7,0.438534779211554,0.1686878547473495,0.2698469244642045,0.21115450423882393,0.32515424695357414
C1-P0,C1,P0,primary,6,0.8125,7,0.39980561915558505,0.16292745354686897,0.23687816560871605,0.1403950924654774,0.3602118548846545
C1-P0,C1,P0,primary,7,0.9375,7,0.5139161282788977,0.15122052192366944,0.36269560635522824,0.2738152603157603,0.44013707979876676
C2-P0,C2,P0,primary,0,0.0625,7,0.6373170914037213,0.33940074062803577,0.2979163507756854,0.13302134833536639,0.4365822882376142
C2-P0,C2,P0,primary,1,0.1875,7,0.45525375855355216,0.20408043053603592,0.25117332801751624,0.20424673442149444,0.3007454091300769
C2-P0,C2,P0,primary,2,0.3125,7,0.44901478987516985,0.18855986654437693,0.2604549233307929,0.17958509220266355,0.3558912027851422
C2-P0,C2,P0,primary,3,0.4375,7,0.4203776337303899,0.17486266916597099,0.24551496456441896,0.1743729950381503,0.3400765578168187
C2-P0,C2,P0,primary,4,0.5625,7,0.43401299678639943,0.16969774204622975,0.2643152547401697,0.221974971760656,0.3019615895137158
C2-P0,C2,P0,primary,5,0.6875,7,0.4245878573015191,0.1686878547473495,0.2559000025541696,0.1972449828138254,0.3172309809063351
C2-P0,C2,P0,primary,6,0.8125,7,0.38007166647557167,0.16292745354686897,0.2171442129287027,0.15350199127771472,0.2888373660107625
C2-P0,C2,P0,primary,7,0.9375,7,0.42986048309443037,0.15122052192366944,0.27863996117076095,0.17847547379020906,0.3578467286517481
C3-P0,C3,P0,primary,0,0.0625,7,0.6125718462913972,0.33940074062803577,0.27317110566336134,0.14573870699232624,0.395042565652229
C3-P0,C3,P0,primary,1,0.1875,7,0.495529111907201,0.20408043053603592,0.2914486813711651,0.18946138896897072,0.39890475717378154
C3-P0,C3,P0,primary,2,0.3125,7,0.5000826166520472,0.18855986654437693,0.31152275010767033,0.20245396534842725,0.4093892112255114
C3-P0,C3,P0,primary,3,0.4375,7,0.3745274870905278,0.17486266916597099,0.19966481792455676,0.1580088143956466,0.24073975391425248
C3-P0,C3,P0,primary,4,0.5625,7,0.4221426061967795,0.16969774204622975,0.2524448641505498,0.184253077164645,0.3189331106627216
C3-P0,C3,P0,primary,5,0.6875,7,0.3850409256613237,0.1686878547473495,0.2163530709139742,0.1693163387087553,0.27247927437304675
C3-P0,C3,P0,primary,6,0.8125,7,0.383069506984886,0.16292745354686897,0.22014205343801704,0.12133300295834248,0.30753011898738375
C3-P0,C3,P0,primary,7,0.9375,7,0.3739068887473159,0.15122052192366944,0.22268636682364648,0.14465879244500937,0.30401356825354936
C4-P0,C4,P0,primary,0,0.0625,7,0.6567020133135627,0.33940074062803577,0.3173012726855268,0.1548824055126718,0.4850336956187217
C4-P0,C4,P0,primary,1,0.1875,7,0.416130073111087,0.20408043053603592,0.21204964257505116,0.1226088367126699,0.2879993710787148
