prompt_level,left_condition,right_condition,left_architecture,right_architecture,n_topics,mean_same_input_route_similarity,mean_different_input_route_similarity,mean_architecture_route_displacement,displacement_ci_low,displacement_ci_high,mean_same_input_similarity_advantage,advantage_ci_low,advantage_ci_high,analysis_role,c4_also_changes_second_model
P0,C1-P0,C2-P0,C1,C2,7,0.47103887787300636,0.46223260055129173,0.5289611221269936,0.492111221182717,0.5629584915746897,0.008806277321714613,0.00467397788645561,0.01324983649959488,exploratory,False
P0,C1-P0,C3-P0,C1,C3,7,0.46257434027335503,0.4634919190170021,0.5374256597266449,0.5085890524197192,0.5624763015216792,-0.000917578743647047,-0.007082367014190953,0.005394250614334848,exploratory,False
P0,C1-P0,C4-P0,C1,C4,7,0.4563594134609956,0.45415850923855466,0.5436405865390045,0.5095727719984501,0.5728488148721959,0.002200904222440942,-0.004341503587820385,0.007454112605991404,exploratory,True
P0,C2-P0,C3-P0,C2,C3,7,0.48807656302259694,0.48217080904916576,0.511923436977403,0.47331018386850815,0.5454182250694382,0.005905753973431246,-0.007780200904708449,0.018894153889126686,exploratory,False
P0,C2-P0,C4-P0,C2,C4,7,0.49314759080472126,0.493685185843661,0.5068524091952787,0.45688015768570484,0.5444531444209959,-0.0005375950389397659,-0.009331250394652204,0.006730820511703047,exploratory,True
P0,C3-P0,C4-P0,C3,C4,7,0.5048277595045323,0.4966766203752374,0.4951722404954677,0.45047618796836486,0.5299552062630326,0.008151139129294873,-0.0014991414799804656,0.01674998678507147,exploratory,True
P1,C1-P1,C2-P1,C1,C2,7,0.41937168457403456,0.41380802129051986,0.5806283154259654,0.5569832038697269,0.6062223375987141,0.00556366328351474,-0.00522933348482527,0.016303314082422683,exploratory,False
P1,C1-P1,C3-P1,C1,C3,7,0.44658517492208516,0.44515944856172673,0.5534148250779147,0.5269522532642987,0.5839196416099619,0.0014257263603584497,-0.009925654276888882,0.010589106887739355,exploratory,False
P1,C1-P1,C4-P1,C1,C4,7,0.4373480208192141,0.4410828838299426,0.5626519791807859,0.548437217669859,0.5777584673184205,-0.003734863010728467,-0.011823439436442214,0.003998995426384323,exploratory,True
P1,C2-P1,C3-P1,C2,C3,7,0.4292136108429281,0.43201511307389256,0.5707863891570719,0.5278550198212895,0.6107894985131509,-0.002801502230964457,-0.011164650733005424,0.005027135128612644,exploratory,False
P1,C2-P1,C4-P1,C2,C4,7,0.42198652092187344,0.4190591957185372,0.5780134790781266,0.5474376436983729,0.6085882564656835,0.0029273252033362096,-0.014893562942445978,0.02620713949362645,exploratory,True
P1,C3-P1,C4-P1,C3,C4,7,0.49307717862165573,0.4885384010585231,0.5069228213783442,0.4958988070312141,0.5170189722296417,0.00453877756313263,-0.008315956377074891,0.01781323340810435,exploratory,True
P2,C1-P2,C2-P2,C1,C2,7,0.3783731281931608,0.3768670282369939,0.6216268718068392,0.5860971340482729,0.6489237690300972,0.0015060999561668825,-0.00668632698556268,0.008673757226590282,exploratory,False
P2,C1-P2,C3-P2,C1,C3,6,0.40944204316679605,0.41014332487086386,0.5905579568332039,0.5472485384985327,0.6326582421161083,-0.0007012817040677374,-0.013461761451391033,0.014643148247475488,exploratory,False
P2,C1-P2,C4-P2,C1,C4,7,0.4159510822717441,0.41950414863486074,0.584048917728256,0.5566599352022176,0.6131815428471947,-0.003553066363116681,-0.013462197485296099,0.007603362060580262,exploratory,True
P2,C2-P2,C3-P2,C2,C3,6,0.3973504593116722,0.4078073806941685,0.6026495406883278,0.5690084305212555,0.6367946296755395,-0.010456921382496284,-0.020224426882335663,0.0006132237328574199,exploratory,False
P2,C2-P2,C4-P2,C2,C4,7,0.41314242229273124,0.41093197248431806,0.5868575777072688,0.5617717069328758,0.6109972005994179,0.0022104498084132363,-0.005179103564770736,0.008914398604254812,exploratory,True
P2,C3-P2,C4-P2,C3,C4,6,0.4808291542886219,0.4738613675019494,0.5191708457113781,0.4887637029760292,0.5503555844749644,0.006967786786672546,-0.005101586002306729,0.01849570310452615,exploratory,True
