condition,architecture,prompt_level,analysis_role,n_primary_topics,n_sensitivity_topics,n_eligible_conversations,n_total_conversations,route_coverage,mean_generated_route_reuse,mean_pool_matched_human_reuse,mean_excess_route_reuse,excess_ci_low,excess_ci_high,mean_generated_above_human_nearest_p95_rate,sensitivity_excess_route_reuse_n_ge_2,sensitivity_ci_low,sensitivity_ci_high
C1-P0,C1,P0,primary,7,12,50,50,1.0,0.5444414877883283,0.37136437822350976,0.17307710956481862,0.13650826980123634,0.21511762534434123,0.9714285714285714,0.16767455526018502,0.1318559031638577,0.20498190369788638
C2-P0,C2,P0,primary,7,12,50,50,1.0,0.5909404571596265,0.37136437822350976,0.21957607893611672,0.17221501186067134,0.2693479656819481,1.0,0.19549564728365942,0.14846153010147026,0.2429492588075004
C3-P0,C3,P0,primary,7,12,49,50,0.98,0.5555427231099045,0.37136437822350976,0.18417834488639473,0.1380927277469711,0.22933924983221876,0.9142857142857144,0.13434444263062675,0.08928265516066032,0.1823905319987044
C4-P0,C4,P0,primary,7,12,50,50,1.0,0.5516470545508512,0.37136437822350976,0.18028267632734135,0.12615488206202805,0.2518134920745879,0.911904761904762,0.13990803602302962,0.06891477923714298,0.20396685836986972
C1-P1,C1,P1,primary,7,12,50,50,1.0,0.5151525528598716,0.37136437822350976,0.14378817463636182,0.10687671132991249,0.1793248013837863,0.8952380952380953,0.12456268991108595,0.07108867898129631,0.1700626213173886
C2-P1,C2,P1,primary,7,12,48,50,0.96,0.4855073688004442,0.36878778167381154,0.11671958712663269,0.07082308380945616,0.16023696545440894,0.7095238095238096,0.0808432204020068,0.02569862614304235,0.1310633309027584
C3-P1,C3,P1,primary,7,12,49,50,0.98,0.5398094347941993,0.37136437822350976,0.1684450565706895,0.1485036169123557,0.18760523232168372,1.0,0.11388265615149339,0.06526034238135163,0.15577183178301465
C4-P1,C4,P1,primary,7,12,50,50,1.0,0.5364800235190923,0.37136437822350976,0.16511564529558256,0.1261296581874804,0.20999855677533327,0.9071428571428571,0.13537787961337872,0.10389345447559452,0.17155952534360844
C1-P2,C1,P2,exploratory,6,12,50,50,1.0,0.4806752159917349,0.3683990313468663,0.1122761846448686,0.07664255930776832,0.1479098099819689,0.6444444444444445,0.09644562032132115,0.06569556909827903,0.12469811651152532
C2-P2,C2,P2,exploratory,6,12,49,50,0.98,0.4488603103273397,0.36735647588035797,0.08150383444698177,0.06098835339459265,0.10978996236140498,0.4611111111111111,0.08905777967585081,0.06271446162323928,0.12398601405444044
C3-P2,C3,P2,exploratory,6,12,47,50,0.94,0.54540007653003,0.36735647588035797,0.17804360064967206,0.11270070821514451,0.2438440297526425,0.9583333333333334,0.14386621539712854,0.08962120737647608,0.19545375727652492
C4-P2,C4,P2,exploratory,6,12,49,50,0.98,0.5412047364386744,0.367702692755459,0.1735020436832153,0.1306385147059946,0.2253812277171161,1.0,0.1285067941532487,0.08563929568162974,0.1731568624574399
