source,condition,architecture,prompt_level,topic,topic_key,conversation_a,conversation_b,route_similarity,route_distance,alignment_path
SB,SB,SB,SB,Air Pollution,air pollution,2006,2094,0.3271639830895623,0.6728360169104377,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,2121,0.30406825012125616,0.6959317498787438,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,2190,0.2826702669824225,0.7173297330175775,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,2262,0.30934184895777417,0.6906581510422258,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,2293,0.3405461971655743,0.6594538028344257,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,2648,0.3622770707505877,0.6377229292494123,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,2752,0.31104119925991025,0.6889588007400897,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,2938,0.24909245920668133,0.7509075407933187,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,2998,0.27990344013425583,0.7200965598657442,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3063,0.28782174904431734,0.7121782509556827,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3148,0.3063335597399418,0.6936664402600582,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3244,0.24189007117644978,0.7581099288235502,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3255,0.23966658192781853,0.7603334180721815,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3406,0.30726129791173606,0.6927387020882639,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3574,0.27547367890581154,0.7245263210941885,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3694,0.29633445722926,0.70366554277074,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3797,0.24982144113438665,0.7501785588656134,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3887,0.28237933499752266,0.7176206650024773,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,4051,0.2307153374715355,0.7692846625284645,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,4114,0.24446026448929625,0.7555397355107037,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,4382,0.2606195956410057,0.7393804043589943,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,4771,0.2580181009606788,0.7419818990393212,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,4940,0.2411125204646355,0.7588874795353645,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,2121,0.41822201325378616,0.5817779867462138,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,2190,0.29897274410570673,0.7010272558942933,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,2262,0.3430374399128123,0.6569625600871877,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,2293,0.36974522087076556,0.6302547791292344,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,2648,0.32035347990440144,0.6796465200955986,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,2752,0.3975768903236212,0.6024231096763788,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,2938,0.31312652243918027,0.6868734775608197,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,2998,0.4268080167880015,0.5731919832119985,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3063,0.3360409546769867,0.6639590453230133,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3148,0.3266644759159324,0.6733355240840676,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3244,0.31470203798843255,0.6852979620115675,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3255,0.3381853819276247,0.6618146180723753,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3406,0.3448478909124867,0.6551521090875133,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3574,0.3701151278897362,0.6298848721102638,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3694,0.32770945606919255,0.6722905439308074,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3797,0.3161744781850445,0.6838255218149555,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3887,0.3625753817033869,0.6374246182966131,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,4051,0.29252962783181624,0.7074703721681838,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,4114,0.3248279050186035,0.6751720949813965,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,4382,0.2929410630290653,0.7070589369709347,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,4771,0.33901573581194355,0.6609842641880564,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,4940,0.2488432717655229,0.7511567282344771,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,2190,0.35383643804575693,0.6461635619542431,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,2262,0.3913190490044497,0.6086809509955503,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,2293,0.35022684547358807,0.6497731545264119,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,2648,0.3866045151881058,0.6133954848118942,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,2752,0.4070855567865509,0.5929144432134491,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,2938,0.3237740603952791,0.6762259396047209,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,2998,0.3434499127807057,0.6565500872192943,"[[0,0],[1,0],[2,1],[3,2],[4,3],[5,4],[6,5],[7,6],[8,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,3063,0.34670148133021683,0.6532985186697832,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,3148,0.3646156903225545,0.6353843096774455,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,3244,0.3116058598423147,0.6883941401576853,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,3255,0.34283286296949456,0.6571671370305054,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,3406,0.324608258697308,0.675391741302692,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,3574,0.3453046676523369,0.6546953323476631,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,3694,0.3662471525222032,0.6337528474777968,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,3797,0.3027433424795408,0.6972566575204592,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,3887,0.36646915495357,0.63353084504643,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,4051,0.28803098985120457,0.7119690101487954,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,4114,0.36032915328212145,0.6396708467178785,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,4382,0.3451331708964739,0.6548668291035261,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,4771,0.3807306814675424,0.6192693185324576,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2121,4940,0.2725502233740089,0.7274497766259911,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,2262,0.308657129085148,0.691342870914852,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,2293,0.27201755058562405,0.727982449414376,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,2648,0.26764717707048014,0.7323528229295199,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,2752,0.2882890938834266,0.7117109061165734,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
SB,SB,SB,SB,Air Pollution,air pollution,2190,2938,0.27097694603566913,0.7290230539643309,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]"
