condition,architecture,prompt_level,analysis_role,progress_index,progress_fraction,n_topics,mean_generated_pair_similarity,mean_human_pair_similarity,excess_progress_similarity,excess_ci_low,excess_ci_high
C1-P0,C1,P0,primary,0,0.041666666666666664,7,0.5042833320194643,0.48640885974334147,0.01787447227612284,-0.07590117897877147,0.1211009114997227
C1-P0,C1,P0,primary,1,0.125,7,0.5544464560130459,0.4060087355486977,0.14843772046434817,0.07160834430963987,0.22320914399187494
C1-P0,C1,P0,primary,2,0.20833333333333334,7,0.5279552854025295,0.37525034065199053,0.15270494475053892,0.07028796218966056,0.23583732824089734
C1-P0,C1,P0,primary,3,0.2916666666666667,7,0.5727043529157829,0.3474170034168316,0.2252873494989513,0.15765994869695016,0.3058034046079207
C1-P0,C1,P0,primary,4,0.375,7,0.44722772037106473,0.32435287818300246,0.12287484218806223,0.059817576340843344,0.19458644192775962
C1-P0,C1,P0,primary,5,0.4583333333333333,7,0.5107557645110542,0.305825018985945,0.2049307455251091,0.14487891439332717,0.2745050546536426
C1-P0,C1,P0,primary,6,0.5416666666666666,7,0.49876672099235375,0.31890349852126426,0.1798632224710895,0.11893674386863091,0.2455304728707108
C1-P0,C1,P0,primary,7,0.625,7,0.47346894832834757,0.3020633111038677,0.17140563722447985,0.08198860985082378,0.25869666590757945
C1-P0,C1,P0,primary,8,0.7083333333333334,7,0.484227959616719,0.2950253648046751,0.18920259481204388,0.08386397355782978,0.30927852485149465
C1-P0,C1,P0,primary,9,0.7916666666666666,7,0.46051923588647986,0.2900638172698501,0.1704554186166298,0.13193079519974477,0.20728993853534483
C1-P0,C1,P0,primary,10,0.875,7,0.4505227543705103,0.27272933135307026,0.17779342301744006,0.08510500724818297,0.2562156157900487
C1-P0,C1,P0,primary,11,0.9583333333333334,7,0.5099610055877895,0.25124073907481753,0.2587202665129719,0.19210628460121293,0.33520832649088306
C2-P0,C2,P0,primary,0,0.041666666666666664,7,0.7089909003816278,0.48640885974334147,0.22258204063828627,0.10634513045946256,0.3394785946637713
C2-P0,C2,P0,primary,1,0.125,7,0.5948904018374029,0.4060087355486977,0.1888816662887052,0.12852506792033822,0.25100949265651595
C2-P0,C2,P0,primary,2,0.20833333333333334,7,0.5986611636818565,0.37525034065199053,0.22341082302986606,0.15597943319807467,0.3005751136535188
C2-P0,C2,P0,primary,3,0.2916666666666667,7,0.5659991637299405,0.3474170034168316,0.21858216031310887,0.15536744256670182,0.288199680748177
C2-P0,C2,P0,primary,4,0.375,7,0.5403907343648761,0.32435287818300246,0.21603785618187352,0.1179136063643258,0.3141621059994213
C2-P0,C2,P0,primary,5,0.4583333333333333,7,0.5397784732934616,0.305825018985945,0.23395345430751657,0.17460674292129738,0.3123935539520569
C2-P0,C2,P0,primary,6,0.5416666666666666,7,0.537194689410321,0.31890349852126426,0.21829119088905666,0.16729108776753068,0.254997155545129
C2-P0,C2,P0,primary,7,0.625,7,0.508571304749259,0.3020633111038677,0.20650799364539132,0.1510603941284832,0.2623964224835195
C2-P0,C2,P0,primary,8,0.7083333333333334,7,0.48966522449156447,0.2950253648046751,0.19463985968688932,0.11191919523011551,0.2825276225531777
C2-P0,C2,P0,primary,9,0.7916666666666666,7,0.47334299127015134,0.2900638172698501,0.18327917400030125,0.11923613078350533,0.24627413260209477
C2-P0,C2,P0,primary,10,0.875,7,0.5363351838441377,0.27272933135307026,0.2636058524910675,0.19880991237983076,0.3233956265803215
C2-P0,C2,P0,primary,11,0.9583333333333334,7,0.5248614944447979,0.25124073907481753,0.2736207553699804,0.23471999944714514,0.31089995555809025
C3-P0,C3,P0,primary,0,0.041666666666666664,7,0.7146295468297923,0.48640885974334147,0.22822068708645085,0.07951451965611855,0.3504121544671027
C3-P0,C3,P0,primary,1,0.125,7,0.5980936595459021,0.4060087355486977,0.19208492399720448,0.12189659528422865,0.26916865444837784
C3-P0,C3,P0,primary,2,0.20833333333333334,7,0.5065079622059491,0.37525034065199053,0.13125762155395856,0.0432227615560425,0.23417723044127817
C3-P0,C3,P0,primary,3,0.2916666666666667,7,0.5638498613792012,0.3474170034168316,0.21643285796236958,0.10718120744173,0.31461538591870514
C3-P0,C3,P0,primary,4,0.375,7,0.4875935373059073,0.32435287818300246,0.1632406591229048,0.12331076796619982,0.20064757733250374
C3-P0,C3,P0,primary,5,0.4583333333333333,7,0.5159636044265695,0.305825018985945,0.21013858544062444,0.1772897339851222,0.2430547029904892
C3-P0,C3,P0,primary,6,0.5416666666666666,7,0.46799566963567857,0.31890349852126426,0.14909217111441428,0.07496967236717936,0.22453804542431036
C3-P0,C3,P0,primary,7,0.625,7,0.47215173142077915,0.3020633111038677,0.17008842031691135,0.13652437550211263,0.20856688399233125
C3-P0,C3,P0,primary,8,0.7083333333333334,7,0.4620730363582858,0.2950253648046751,0.16704767155361067,0.10534560583974972,0.21909493235382302
C3-P0,C3,P0,primary,9,0.7916666666666666,7,0.39497283298435226,0.2900638172698501,0.10490901571450219,0.04697946680068156,0.16723226275953934
C3-P0,C3,P0,primary,10,0.875,7,0.45623141891297275,0.27272933135307026,0.18350208755990252,0.07746960875340454,0.28848330097915204
C3-P0,C3,P0,primary,11,0.9583333333333334,7,0.4381467141041849,0.25124073907481753,0.18690597502936734,0.10295119746033761,0.28287093298744176
C4-P0,C4,P0,primary,0,0.041666666666666664,7,0.7491379538622904,0.48640885974334147,0.2627290941189489,0.16001597708508877,0.3737447572456404
C4-P0,C4,P0,primary,1,0.125,7,0.5354876445897371,0.4060087355486977,0.1294789090410394,0.07797311978353354,0.1897879399464054
C4-P0,C4,P0,primary,2,0.20833333333333334,7,0.5135071039863741,0.37525034065199053,0.1382567633343836,0.08150013690782203,0.22472782921958603
C4-P0,C4,P0,primary,3,0.2916666666666667,7,0.4946381629530206,0.3474170034168316,0.14722115953618897,0.08344327185474897,0.2083723254328973
C4-P0,C4,P0,primary,4,0.375,7,0.48485278292643613,0.32435287818300246,0.16049990474343367,0.09957422506517875,0.22656195235342444
C4-P0,C4,P0,primary,5,0.4583333333333333,7,0.4441377606594659,0.305825018985945,0.13831274167352087,0.03116243363639298,0.24913761907589868
C4-P0,C4,P0,primary,6,0.5416666666666666,7,0.48837442590480634,0.31890349852126426,0.16947092738354202,0.09616962376138269,0.27096522505479664
C4-P0,C4,P0,primary,7,0.625,7,0.4620954791137682,0.3020633111038677,0.16003216800990042,0.08620172334511177,0.24566754196107207
C4-P0,C4,P0,primary,8,0.7083333333333334,7,0.49562050999953067,0.2950253648046751,0.20059514519485555,0.12861742512709912,0.2657936650031107
C4-P0,C4,P0,primary,9,0.7916666666666666,7,0.41469665804839756,0.2900638172698501,0.12463284077854743,0.02738991793239498,0.23492214268246966
C4-P0,C4,P0,primary,10,0.875,7,0.4437694262969934,0.27272933135307026,0.1710400949439232,0.06916068257534734,0.28711265317018314
C4-P0,C4,P0,primary,11,0.9583333333333334,7,0.4188445715454077,0.25124073907481753,0.16760383247059016,0.10561307234934267,0.2342160223392046
C1-P1,C1,P1,primary,0,0.041666666666666664,7,0.49793081241996656,0.48640885974334147,0.01152195267662506,-0.10039301180828387,0.1237231024507983
C1-P1,C1,P1,primary,1,0.125,7,0.550382423622774,0.4060087355486977,0.1443736880740763,0.0972671404155325,0.1982689148842716
C1-P1,C1,P1,primary,2,0.20833333333333334,7,0.45252586988722715,0.37525034065199053,0.07727552923523658,-0.007025795611907039,0.15049244136186152
C1-P1,C1,P1,primary,3,0.2916666666666667,7,0.40399893566344147,0.3474170034168316,0.05658193224660985,-0.027815123251975347,0.12580427397802668
C1-P1,C1,P1,primary,4,0.375,7,0.46326627988267066,0.32435287818300246,0.13891340169966818,0.10772670300936249,0.17365525043413904
C1-P1,C1,P1,primary,5,0.4583333333333333,7,0.45014066666522895,0.305825018985945,0.1443156476792839,0.07572806931405897,0.22022653540914178
C1-P1,C1,P1,primary,6,0.5416666666666666,7,0.48393462751812316,0.31890349852126426,0.16503112899685884,0.07111210368124886,0.2436126167002906
C1-P1,C1,P1,primary,7,0.625,7,0.48300882970079834,0.3020633111038677,0.18094551859693062,0.11686806981138735,0.24307690232187662
C1-P1,C1,P1,primary,8,0.7083333333333334,7,0.44268758958580984,0.2950253648046751,0.14766222478113475,0.05366968821558275,0.2219957499058818
C1-P1,C1,P1,primary,9,0.7916666666666666,7,0.40538951181958305,0.2900638172698501,0.11532569454973296,-0.003884862240284474,0.22372609715255407
C1-P1,C1,P1,primary,10,0.875,7,0.4443656683926926,0.27272933135307026,0.17163633703962233,0.07489840419837657,0.26488256830574514
C1-P1,C1,P1,primary,11,0.9583333333333334,7,0.587571537232317,0.25124073907481753,0.33633079815749956,0.26993691967733424,0.4040531301885906
C2-P1,C2,P1,primary,0,0.041666666666666664,7,0.5825732088350982,0.48640885974334147,0.09616434909175668,-0.036849535318504864,0.22365223260399852
C2-P1,C2,P1,primary,1,0.125,7,0.456200973473671,0.4060087355486977,0.0501922379249733,-0.0185218719526434,0.12923236597156343
C2-P1,C2,P1,primary,2,0.20833333333333334,7,0.4995442717231608,0.37525034065199053,0.12429393107117027,0.0339196247381997,0.20585135275319164
C2-P1,C2,P1,primary,3,0.2916666666666667,7,0.47007199679244055,0.3474170034168316,0.12265499337560895,0.03130056817961641,0.20801706117443228
C2-P1,C2,P1,primary,4,0.375,7,0.4549938895690065,0.32435287818300246,0.130641011386004,0.0361275479394247,0.21628949853287655
C2-P1,C2,P1,primary,5,0.4583333333333333,7,0.4919518901696132,0.305825018985945,0.18612687118366816,0.1275776109900153,0.24078089659533364
C2-P1,C2,P1,primary,6,0.5416666666666666,7,0.44119079790679666,0.31890349852126426,0.1222872993855324,0.036391595341312796,0.2058554009346943
C2-P1,C2,P1,primary,7,0.625,7,0.4517973753245491,0.3020633111038677,0.1497340642206814,0.10468851480874737,0.2020856935910546
C2-P1,C2,P1,primary,8,0.7083333333333334,7,0.42047615346029177,0.2950253648046751,0.12545078865561668,0.06937186887276868,0.18797761140266062
C2-P1,C2,P1,primary,9,0.7916666666666666,7,0.31524322325374865,0.2900638172698501,0.025179405983898565,-0.025536621319680822,0.08366172596647146
C2-P1,C2,P1,primary,10,0.875,7,0.35171277156455844,0.27272933135307026,0.0789834402114882,0.020954631754068743,0.128072384469418
C2-P1,C2,P1,primary,11,0.9583333333333334,7,0.32501309180426213,0.25124073907481753,0.07377235272944457,0.03750649543183598,0.10831205532031922
C3-P1,C3,P1,primary,0,0.041666666666666664,7,0.7503717775466328,0.48640885974334147,0.2639629178032913,0.16650437446490424,0.34651857044348694
C3-P1,C3,P1,primary,1,0.125,7,0.5400697056389852,0.4060087355486977,0.13406097009028747,0.07741316932063778,0.2007442734989218
C3-P1,C3,P1,primary,2,0.20833333333333334,7,0.5378445395693402,0.37525034065199053,0.16259419891734966,0.07710211637565256,0.2574190025405235
C3-P1,C3,P1,primary,3,0.2916666666666667,7,0.49173541848710445,0.3474170034168316,0.14431841507027285,0.06635618943937975,0.21798310922449618
C3-P1,C3,P1,primary,4,0.375,7,0.5169282511163533,0.32435287818300246,0.1925753729333508,0.1135803806908029,0.28401516006296657
C3-P1,C3,P1,primary,5,0.4583333333333333,7,0.488331320030701,0.305825018985945,0.18250630104475593,0.09436263565496517,0.27781866256783017
C3-P1,C3,P1,primary,6,0.5416666666666666,7,0.44522931505351654,0.31890349852126426,0.12632581653225225,0.04228797660144165,0.19765035883699983
