condition,architecture,prompt_level,analysis_role,n_primary_topics,n_sensitivity_topics,n_eligible_conversations,n_total_conversations,route_coverage,mean_generated_route_reuse,mean_pool_matched_human_reuse,mean_excess_route_reuse,excess_ci_low,excess_ci_high,mean_generated_above_human_nearest_p95_rate,sensitivity_excess_route_reuse_n_ge_2,sensitivity_ci_low,sensitivity_ci_high
C1-P0,C1,P0,primary,7,13,50,50,1.0,0.46789967836033625,0.23279429550795158,0.2351053828523846,0.20402750605236647,0.2840804610527173,1.0,0.2210461326400526,0.17332497065832408,0.26657733401152733
C2-P0,C2,P0,primary,7,13,50,50,1.0,0.47292819580998696,0.23279429550795158,0.24013390030203544,0.19003906145039043,0.28921628082515743,1.0,0.21892282465434304,0.18700157246636687,0.25420301931127537
C3-P0,C3,P0,primary,7,13,50,50,1.0,0.4602851429454122,0.23279429550795158,0.22749084743746062,0.1893415203345691,0.2685019716014168,1.0,0.1935749935408981,0.15608821980381807,0.23214484042799932
C4-P0,C4,P0,primary,7,13,50,50,1.0,0.4652376732457837,0.23279429550795158,0.2324433777378321,0.2043059128432785,0.2614315559534389,1.0,0.19751369134237512,0.14340576711106062,0.24349483118616638
C1-P1,C1,P1,primary,7,13,50,50,1.0,0.49881133869153105,0.23279429550795158,0.2660170431835795,0.22522783209181968,0.30306430337419077,1.0,0.21878703603954086,0.17214197715821053,0.26287632800179106
C2-P1,C2,P1,primary,7,13,50,50,1.0,0.3848834047733618,0.23279429550795158,0.15208910926541025,0.12619315636196224,0.17902196298387926,1.0,0.11242190173578792,0.07750145338248746,0.14539787568526705
C3-P1,C3,P1,primary,7,13,50,50,1.0,0.5072487416090367,0.23279429550795158,0.27445444610108505,0.24826082907305022,0.30189781171245683,1.0,0.20516086171055453,0.161741398428272,0.2514085879514296
C4-P1,C4,P1,primary,7,13,50,50,1.0,0.48955704601888633,0.23279429550795158,0.2567627505109347,0.22250387661506868,0.29412651853826904,1.0,0.21817549782976856,0.18401104948724634,0.2545086314007204
C1-P2,C1,P2,exploratory,7,13,50,50,1.0,0.48421663665053094,0.23279429550795158,0.2514223411425794,0.21574756619898536,0.29545598032725306,1.0,0.22042224974571445,0.18204584803127505,0.2594521897310959
C2-P2,C2,P2,exploratory,7,13,50,50,1.0,0.3556191339667527,0.23279429550795158,0.12282483845880113,0.10033256210275115,0.14512420639961116,0.880952380952381,0.10474631256368347,0.07658335405488668,0.12988167505572917
C3-P2,C3,P2,exploratory,7,13,50,50,1.0,0.4905694557908336,0.23279429550795158,0.257775160282882,0.2198758226093871,0.2962020207181209,1.0,0.2106992543873421,0.14872895467197086,0.26562170114777844
C4-P2,C4,P2,exploratory,7,13,50,50,1.0,0.47962300387162043,0.23279429550795158,0.24682870836366888,0.21236750105597546,0.2767636471327663,1.0,0.20933906430279,0.16715086533677004,0.24839033805960903
