source,condition,architecture,prompt_level,conversation_no,topic,topic_key,n_words,n_bins,n_microchunks,route_representation,n_sampled_word_occurrences,n_unique_sampled_words,sampled_unique_coverage,sampled_overlap_rate,status,topic_pool_size,nearest_sibling_no,nearest_sibling_similarity
SB,SB,SB,SB,2005,Care Of The Elderly,care of the elderly,1689,8,8,landmarks,160,160,0.09473060982830077,0.0,eligible,28,2768,0.26642395651382367
SB,SB,SB,SB,2006,Air Pollution,air pollution,1454,8,8,landmarks,160,160,0.11004126547455295,0.0,eligible,24,3887,0.30452017820017474
SB,SB,SB,SB,2020,Music,music,1908,8,8,landmarks,160,160,0.08385744234800839,0.0,eligible,25,4312,0.32394003800238724
SB,SB,SB,SB,2022,Family Finance,family finance,1214,8,8,landmarks,160,160,0.13179571663920922,0.0,eligible,28,3200,0.33162413655292244
SB,SB,SB,SB,2025,Trial By Jury,trial by jury,1353,8,8,landmarks,160,160,0.11825572801182557,0.0,eligible,31,2749,0.25608508253819773
SB,SB,SB,SB,2028,Weather Climate,weather climate,1533,8,8,landmarks,160,160,0.10437051532941943,0.0,eligible,20,2934,0.2458690070545383
SB,SB,SB,SB,2032,Music,music,1740,8,8,landmarks,160,160,0.09195402298850575,0.0,eligible,25,3994,0.2599511519478642
SB,SB,SB,SB,2051,Crime,crime,1519,8,8,landmarks,160,160,0.10533245556287031,0.0,eligible,27,3143,0.2496422081169758
SB,SB,SB,SB,2060,News Media,news media,914,8,8,landmarks,160,160,0.175054704595186,0.0,eligible,31,3267,0.3542773956268921
SB,SB,SB,SB,2062,Job Benefits,job benefits,2020,8,8,landmarks,160,160,0.07920792079207921,0.0,eligible,26,4720,0.2353829749029379
SB,SB,SB,SB,2064,Capital Punishment,capital punishment,1460,8,8,landmarks,160,160,0.1095890410958904,0.0,eligible,32,2231,0.26481798335242857
SB,SB,SB,SB,2071,Buying A Car,buying a car,936,8,8,landmarks,160,160,0.17094017094017094,0.0,eligible,34,2751,0.34971188744211323
SB,SB,SB,SB,2085,Job Benefits,job benefits,1706,8,8,landmarks,160,160,0.09378663540445487,0.0,eligible,26,2982,0.25750758007252317
SB,SB,SB,SB,2092,Family Finance,family finance,1532,8,8,landmarks,160,160,0.10443864229765012,0.0,eligible,28,4759,0.3161983261852498
SB,SB,SB,SB,2094,Air Pollution,air pollution,1344,8,8,landmarks,160,160,0.11904761904761904,0.0,eligible,24,2998,0.3321031774285431
SB,SB,SB,SB,2095,Weather Climate,weather climate,903,8,8,landmarks,160,160,0.17718715393134,0.0,eligible,20,3596,0.3333125038515049
SB,SB,SB,SB,2104,Soviet Union,soviet union,458,8,8,landmarks,160,160,0.34934497816593885,0.0,eligible,8,3379,0.2834929336804505
SB,SB,SB,SB,2111,Recycling,recycling,1759,8,8,landmarks,160,160,0.09096077316657192,0.0,eligible,35,2249,0.2855446582000194
SB,SB,SB,SB,2121,Air Pollution,air pollution,1808,8,8,landmarks,160,160,0.08849557522123894,0.0,eligible,24,3574,0.2623235517798277
SB,SB,SB,SB,2131,Music,music,1882,8,8,landmarks,160,160,0.08501594048884166,0.0,eligible,25,4092,0.2628039148825142
SB,SB,SB,SB,2154,News Media,news media,1566,8,8,landmarks,160,160,0.10217113665389528,0.0,eligible,31,4660,0.2870972546211893
SB,SB,SB,SB,2155,Care Of The Elderly,care of the elderly,2240,8,8,landmarks,160,160,0.07142857142857142,0.0,eligible,28,4108,0.2601319748390317
SB,SB,SB,SB,2157,Football,football,1793,8,8,landmarks,160,160,0.08923591745677635,0.0,eligible,11,3638,0.26080274645603196
SB,SB,SB,SB,2160,Crime,crime,1318,8,8,landmarks,160,160,0.12139605462822459,0.0,eligible,27,2335,0.21882586446136698
SB,SB,SB,SB,2168,Public Education,public education,2013,8,8,landmarks,160,160,0.07948335817188276,0.0,eligible,32,4784,0.23016475449992557
SB,SB,SB,SB,2180,Trial By Jury,trial by jury,1476,8,8,landmarks,160,160,0.10840108401084012,0.0,eligible,31,2309,0.3015093678994677
SB,SB,SB,SB,2184,Drug Testing,drug testing,1326,8,8,landmarks,160,160,0.12066365007541478,0.0,eligible,27,2759,0.3054357136939667
SB,SB,SB,SB,2190,Air Pollution,air pollution,2231,8,8,landmarks,160,160,0.07171671896010758,0.0,eligible,24,2006,0.1935569495938818
SB,SB,SB,SB,2205,News Media,news media,1633,8,8,landmarks,160,160,0.09797917942437231,0.0,eligible,31,4630,0.31009655798312874
SB,SB,SB,SB,2220,Music,music,1948,8,8,landmarks,160,160,0.08213552361396304,0.0,eligible,25,3230,0.1891106181439578
SB,SB,SB,SB,2221,Trial By Jury,trial by jury,2044,8,8,landmarks,160,160,0.07827788649706457,0.0,eligible,31,2924,0.3041705398557222
SB,SB,SB,SB,2231,Capital Punishment,capital punishment,1460,8,8,landmarks,160,160,0.1095890410958904,0.0,eligible,32,2546,0.3530336219562261
SB,SB,SB,SB,2234,Taxes,taxes,1527,8,8,landmarks,160,160,0.10478061558611657,0.0,eligible,26,2915,0.23332240188859454
SB,SB,SB,SB,2249,Recycling,recycling,1874,8,8,landmarks,160,160,0.08537886872998933,0.0,eligible,35,2111,0.2855446582000194
SB,SB,SB,SB,2252,Soviet Union,soviet union,2102,8,8,landmarks,160,160,0.07611798287345385,0.0,eligible,8,3379,0.24544976276315777
SB,SB,SB,SB,2260,Taxes,taxes,1856,8,8,landmarks,160,160,0.08620689655172414,0.0,eligible,26,3077,0.2386056438052988
SB,SB,SB,SB,2262,Air Pollution,air pollution,1599,8,8,landmarks,160,160,0.10006253908692933,0.0,eligible,24,3887,0.268691656139323
SB,SB,SB,SB,2264,Recycling,recycling,1028,8,8,landmarks,160,160,0.1556420233463035,0.0,eligible,35,2876,0.2933980035560454
SB,SB,SB,SB,2265,News Media,news media,791,8,8,landmarks,160,160,0.202275600505689,0.0,eligible,31,3402,0.23550665093896506
SB,SB,SB,SB,2285,Crime,crime,1907,8,8,landmarks,160,160,0.08390141583639224,0.0,eligible,27,3801,0.30317776086014836
SB,SB,SB,SB,2289,Recycling,recycling,1894,8,8,landmarks,160,160,0.08447729672650475,0.0,eligible,35,3515,0.281960125625502
SB,SB,SB,SB,2292,Job Benefits,job benefits,1844,8,8,landmarks,160,160,0.08676789587852494,0.0,eligible,26,4720,0.2417436231953367
SB,SB,SB,SB,2293,Air Pollution,air pollution,1225,8,8,landmarks,160,160,0.1306122448979592,0.0,eligible,24,2752,0.22287770747335045
SB,SB,SB,SB,2295,Care Of The Elderly,care of the elderly,1146,8,8,landmarks,160,160,0.13961605584642234,0.0,eligible,28,2005,0.2465415161445731
SB,SB,SB,SB,2299,Recycling,recycling,1417,8,8,landmarks,160,160,0.11291460832745237,0.0,eligible,35,2876,0.3263878171728405
SB,SB,SB,SB,2300,Family Finance,family finance,2190,8,8,landmarks,160,160,0.0730593607305936,0.0,eligible,28,4379,0.3078854745266755
SB,SB,SB,SB,2302,Trial By Jury,trial by jury,1106,8,8,landmarks,160,160,0.14466546112115733,0.0,eligible,31,2962,0.2696032935067634
SB,SB,SB,SB,2308,Care Of The Elderly,care of the elderly,1849,8,8,landmarks,160,160,0.08653326122228232,0.0,eligible,28,3052,0.2646638600724526
SB,SB,SB,SB,2309,Trial By Jury,trial by jury,1315,8,8,landmarks,160,160,0.12167300380228137,0.0,eligible,31,4370,0.31523160687730567
SB,SB,SB,SB,2314,Drug Testing,drug testing,1284,8,8,landmarks,160,160,0.12461059190031153,0.0,eligible,27,2759,0.3296286948474274
SB,SB,SB,SB,2316,Public Education,public education,1830,8,8,landmarks,160,160,0.08743169398907104,0.0,eligible,32,2926,0.278242607741888
SB,SB,SB,SB,2323,Soviet Union,soviet union,1260,8,8,landmarks,160,160,0.12698412698412698,0.0,eligible,8,2602,0.2665255858855522
SB,SB,SB,SB,2325,Child Care,child care,2468,8,8,landmarks,160,160,0.06482982171799027,0.0,eligible,28,2631,0.20379701244184778
SB,SB,SB,SB,2330,Weather Climate,weather climate,756,8,8,landmarks,160,160,0.21164021164021163,0.0,eligible,20,3042,0.36908242728074525
SB,SB,SB,SB,2335,Crime,crime,1701,8,8,landmarks,160,160,0.09406231628453851,0.0,eligible,27,2689,0.28772380618643867
SB,SB,SB,SB,2336,Buying A Car,buying a car,1440,8,8,landmarks,160,160,0.1111111111111111,0.0,eligible,34,3173,0.32071308481073335
SB,SB,SB,SB,2340,Care Of The Elderly,care of the elderly,2237,8,8,landmarks,160,160,0.07152436298614215,0.0,eligible,28,3862,0.21698193386832676
