condition,architecture,prompt_level,analysis_role,progress_index,progress_fraction,n_topics,mean_generated_pair_similarity,mean_human_pair_similarity,excess_progress_similarity,excess_ci_low,excess_ci_high
C1-P0,C1,P0,primary,0,0.0625,7,0.42083778213375955,0.34729341270731073,0.0735443694264488,0.01306878339779384,0.12570476271679748
C1-P0,C1,P0,primary,1,0.1875,7,0.4199624159968129,0.1999063596438344,0.22005605635297845,0.13369974737680526,0.30311051469271255
C1-P0,C1,P0,primary,2,0.3125,7,0.4771270853325644,0.18237232657596797,0.2947547587565965,0.20652896978801943,0.40843190056412676
C1-P0,C1,P0,primary,3,0.4375,7,0.3943269835462468,0.18006872477045674,0.21425825877579005,0.11663993412879987,0.3205752362273323
C1-P0,C1,P0,primary,4,0.5625,7,0.3132662400385246,0.16842176860298697,0.14484447143553764,0.12058962934698557,0.17055234253163423
C1-P0,C1,P0,primary,5,0.6875,7,0.42294966308430476,0.163255071226143,0.25969459185816174,0.1962366790775492,0.32016461944128866
C1-P0,C1,P0,primary,6,0.8125,7,0.35397723149187527,0.15893829622373096,0.19503893526814428,0.11353062292213977,0.30858707218870374
C1-P0,C1,P0,primary,7,0.9375,7,0.43991687316326517,0.14879948749104724,0.29111738567221795,0.1976220825748158,0.3603218340970614
C2-P0,C2,P0,primary,0,0.0625,7,0.6329408896492785,0.34729341270731073,0.2856474769419678,0.10699383052466221,0.4390188664943703
C2-P0,C2,P0,primary,1,0.1875,7,0.42413077877678873,0.1999063596438344,0.22422441913295432,0.18783170908735092,0.2705949409230597
C2-P0,C2,P0,primary,2,0.3125,7,0.39758407179206273,0.18237232657596797,0.2152117452160948,0.13950623051329503,0.29633709354646615
C2-P0,C2,P0,primary,3,0.4375,7,0.39920444949170436,0.18006872477045674,0.21913572472124762,0.1470925266500164,0.3144070910769432
C2-P0,C2,P0,primary,4,0.5625,7,0.3996402135082334,0.16842176860298697,0.23121844490524648,0.19837095446349012,0.26369809990738385
C2-P0,C2,P0,primary,5,0.6875,7,0.415117500485578,0.163255071226143,0.25186242925943503,0.19065293559223878,0.31556977429004557
C2-P0,C2,P0,primary,6,0.8125,7,0.3627032650812779,0.15893829622373096,0.20376496885754694,0.1475206423469016,0.2634806755677557
C2-P0,C2,P0,primary,7,0.9375,7,0.42053898073507645,0.14879948749104724,0.27173949324402924,0.17021800679924193,0.3601514424689434
C3-P0,C3,P0,primary,0,0.0625,7,0.623725312741836,0.34729341270731073,0.2764319000345252,0.1341377664812519,0.41170051333638735
C3-P0,C3,P0,primary,1,0.1875,7,0.5021629319533517,0.1999063596438344,0.30225657230951736,0.19844923732759925,0.4123567028712304
C3-P0,C3,P0,primary,2,0.3125,7,0.4243685562699661,0.18237232657596797,0.24199622969399814,0.14583666998697323,0.3270676449312501
C3-P0,C3,P0,primary,3,0.4375,7,0.3362907563687997,0.18006872477045674,0.15622203159834297,0.12271773820520712,0.19109040611446315
C3-P0,C3,P0,primary,4,0.5625,7,0.35808867041172804,0.16842176860298697,0.18966690180874113,0.13725452450152067,0.24496768101110833
C3-P0,C3,P0,primary,5,0.6875,7,0.3576974920439183,0.163255071226143,0.19444242081777532,0.14063870997078898,0.25486280250781057
C3-P0,C3,P0,primary,6,0.8125,7,0.33736306548370626,0.15893829622373096,0.17842476925997533,0.09657296045679414,0.2550865271829013
C3-P0,C3,P0,primary,7,0.9375,7,0.33601516890556676,0.14879948749104724,0.18721568141451955,0.11534325333760527,0.2680199125445732
C4-P0,C4,P0,primary,0,0.0625,7,0.64615888194338,0.34729341270731073,0.29886546923606927,0.12301700950335626,0.46263763626523446
C4-P0,C4,P0,primary,1,0.1875,7,0.40754213876495343,0.1999063596438344,0.20763577912111897,0.13497682906201172,0.27373454340811554
C4-P0,C4,P0,primary,2,0.3125,7,0.3485987097835998,0.18237232657596797,0.16622638320763183,0.10388470848983103,0.22486620853595274
C4-P0,C4,P0,primary,3,0.4375,7,0.3683313553387771,0.18006872477045674,0.18826263056832038,0.08474140320468738,0.27461709818889557
C4-P0,C4,P0,primary,4,0.5625,7,0.3537914956796796,0.16842176860298697,0.18536972707669258,0.15682698656660643,0.21046073358332154
C4-P0,C4,P0,primary,5,0.6875,7,0.36542344341050725,0.163255071226143,0.2021683721843643,0.17495546455137295,0.23571137528646902
