source,architecture,prompt_level,n_conversations,CED,min_distance,max_distance,mean_nn_distance,min_nn_distance,topic,condition
SB,SB,SB,2,0.021997282114831818,0.021997282114831762,0.021997282114831873,0.08702136761844848,0.08702136761844848,BUYING A CAR,SB
LLM,C1,P0,2,0.01724671509651976,0.01724671509651976,0.01724671509651976,0.06839196202283793,0.06839196202283793,Buying A Car,C1-P0
LLM,C2,P0,2,0.04074332897115346,0.04074332897115329,0.040743328971153625,0.159653278173311,0.159653278173311,Buying A Car,C2-P0
LLM,C2,P1,2,0.03529987482336577,0.03529987482336572,0.03529987482336583,0.13870733696837112,0.13870733696837112,Buying A Car,C2-P1
LLM,C2,P2,2,0.031263632878786085,0.031263632878786085,0.031263632878786085,0.12309970203358556,0.12309970203358556,Buying A Car,C2-P2
LLM,C3,P0,2,0.06631674045804858,0.06631674045804858,0.06631674045804858,0.2564711417022346,0.2564711417022346,Buying A Car,C3-P0
LLM,C3,P1,2,0.04712476686414113,0.04712476686414113,0.04712476686414113,0.1840575801525649,0.1840575801525649,Buying A Car,C3-P1
LLM,C3,P2,2,0.04988575432332498,0.04988575432332498,0.04988575432332498,0.19456584032448576,0.19456584032448576,Buying A Car,C3-P2
LLM,C4,P0,2,0.032210118100069074,0.03221011810006902,0.03221011810006913,0.12676548898423556,0.12676548898423556,Buying A Car,C4-P0
LLM,C4,P1,2,0.038475647690415005,0.038475647690415005,0.038475647690415005,0.15094183983126586,0.15094183983126586,Buying A Car,C4-P1
LLM,C4,P2,2,0.025451918223374337,0.025451918223374337,0.025451918223374337,0.10051207261099937,0.10051207261099937,Buying A Car,C4-P2
SB,SB,SB,2,0.01885531924253947,0.01885531924253947,0.01885531924253947,0.07471023084268169,0.07471023084268169,CAPITAL PUNISHMENT,SB
SB,SB,SB,5,0.03566760861250744,0.02443237170309054,0.04846473452760136,0.06797281380113958,0.06000865305257541,CARE OF THE ELDERLY,SB
SB,SB,SB,2,0.013831506200141452,0.013831506200141397,0.013831506200141508,0.05494340367303707,0.05494340367303707,CHILD CARE,SB
SB,SB,SB,4,0.04354952128404249,0.03267761163048599,0.05414782162823084,0.09184098765982049,0.07868567852782837,CRIME,SB
LLM,C1,P0,2,0.03294742246422644,0.03294742246422644,0.03294742246422644,0.12961862456283368,0.12961862456283368,Capital Punishment,C1-P0
LLM,C2,P0,2,0.03449340469300788,0.03449340469300777,0.03449340469300799,0.13559402883740002,0.13559402883740002,Capital Punishment,C2-P0
LLM,C2,P1,2,0.030299815280323883,0.030299815280323772,0.030299815280323994,0.11936310350925239,0.11936310350925239,Capital Punishment,C2-P1
LLM,C2,P2,2,0.0415707106467893,0.04157071064678919,0.04157071064678941,0.1628265946197991,0.1628265946197991,Capital Punishment,C2-P2
LLM,C3,P0,2,0.01726168500770603,0.017261685007705974,0.017261685007706085,0.06845080849221419,0.06845080849221419,Capital Punishment,C3-P0
LLM,C3,P1,2,0.023502928272423895,0.02350292827242384,0.02350292827242395,0.09290693781493842,0.09290693781493842,Capital Punishment,C3-P1
LLM,C3,P2,2,0.020629446438420684,0.020629446438420684,0.020629446438420684,0.08166663763297011,0.08166663763297011,Capital Punishment,C3-P2
LLM,C4,P0,2,0.022731648609685073,0.022731648609685018,0.02273164860968513,0.08989313874171212,0.08989313874171212,Capital Punishment,C4-P0
LLM,C4,P1,2,0.027077582918523857,0.0270775829185238,0.027077582918523913,0.10684394068067671,0.10684394068067671,Capital Punishment,C4-P1
LLM,C4,P2,2,0.020282182393685455,0.0202821823936854,0.02028218239368551,0.08030599572943986,0.08030599572943986,Capital Punishment,C4-P2
LLM,C1,P0,5,0.05689952459988808,0.03730026447123025,0.07345576132068932,0.10785609548622084,0.09919337396164951,Care Of The Elderly,C1-P0
LLM,C1,P1,4,0.06047824093978635,0.04523335256981198,0.07104505642688319,0.12639463555369257,0.11202947553805398,Care Of The Elderly,C1-P1
LLM,C2,P0,5,0.08316339169354499,0.041375341189470505,0.1656749415667137,0.1432191098697214,0.11954798342546802,Care Of The Elderly,C2-P0
LLM,C2,P1,5,0.17879514368934799,0.06178366758393794,0.2749823779344277,0.18494548097177693,0.13563749621531396,Care Of The Elderly,C2-P1
LLM,C2,P2,5,0.08452857442981654,0.05357611568330334,0.11590401805469219,0.130113863721054,0.05538386610278123,Care Of The Elderly,C2-P2
LLM,C3,P0,5,0.06296054407954091,0.04833016966921433,0.08416577302856598,0.12837219956394422,0.11805302617469349,Care Of The Elderly,C3-P0
LLM,C3,P1,5,0.04779005767425502,0.028714630679267494,0.09765223052601435,0.08684139489788681,0.062396819009780335,Care Of The Elderly,C3-P1
LLM,C3,P2,5,0.07923466408215434,0.03948200306333993,0.14906086395136364,0.1257255469527096,0.0908223564499232,Care Of The Elderly,C3-P2
LLM,C4,P0,5,0.037731979892291156,0.028577765424967372,0.04999035545128294,0.07445360399087123,0.05876658160394754,Care Of The Elderly,C4-P0
LLM,C4,P1,5,0.05746736689370278,0.039652452216386136,0.08951132084617197,0.10045382434935024,0.06993139364524503,Care Of The Elderly,C4-P1
LLM,C4,P2,5,0.038377623689283345,0.02812657087226267,0.05206415279866616,0.07664256424579681,0.06908069351255741,Care Of The Elderly,C4-P2
LLM,C1,P0,2,0.10901305292972274,0.10901305292972263,0.10901305292972285,0.41228452030077445,0.41228452030077445,Child Care,C1-P0
LLM,C1,P1,2,0.08495998650398928,0.08495998650398928,0.08495998650398928,0.3254035474024404,0.3254035474024404,Child Care,C1-P1
LLM,C2,P0,2,0.03780364261289976,0.0378036426128997,0.03780364261289981,0.1483563396619918,0.1483563396619918,Child Care,C2-P0
LLM,C2,P1,2,0.02838825550365698,0.02838825550365698,0.02838825550365698,0.11194123591354666,0.11194123591354666,Child Care,C2-P1
LLM,C2,P2,2,0.03601849915554034,0.03601849915554023,0.03601849915554045,0.14147933205932595,0.14147933205932595,Child Care,C2-P2
LLM,C3,P0,2,0.0854931247470348,0.08549312474703474,0.08549312474703485,0.3273543502301157,0.3273543502301157,Child Care,C3-P0
LLM,C3,P1,2,0.06200915071032137,0.062009150710321315,0.062009150710321426,0.24034633329765498,0.24034633329765498,Child Care,C3-P1
LLM,C3,P2,2,0.14107750795861318,0.14107750795861318,0.14107750795861318,0.5245043053308277,0.5245043053308277,Child Care,C3-P2
LLM,C4,P0,2,0.021560368660827778,0.021560368660827667,0.02156036866082789,0.08531177564972947,0.08531177564972947,Child Care,C4-P0
LLM,C4,P1,2,0.04543522349010132,0.04543522349010132,0.04543522349010132,0.17761217489321457,0.17761217489321457,Child Care,C4-P1
LLM,C4,P2,2,0.0510016090361301,0.05100160903613005,0.05100160903613016,0.1988041078959717,0.1988041078959717,Child Care,C4-P2
LLM,C1,P0,4,0.036701863479312674,0.021623327526980707,0.04496362968912393,0.07456118268327497,0.06811843236738135,Crime,C1-P0
LLM,C2,P0,4,0.024744015402104275,0.01806514505743917,0.03232554840839852,0.05575396474882538,0.053567234067297353,Crime,C2-P0
LLM,C2,P1,4,0.04378805394577673,0.039340550641047356,0.050747158423732786,0.09659706207383506,0.08795244922059708,Crime,C2-P1
LLM,C2,P2,4,0.12523332833437006,0.0782591829570306,0.24575849778374492,0.1927656471294496,0.10229510922633067,Crime,C2-P2
LLM,C3,P0,4,0.03819480619179569,0.03287620918123335,0.051888068050766845,0.0896378287033639,0.08011656184708604,Crime,C3-P0
LLM,C3,P1,4,0.054749600776963225,0.04219793218361012,0.06947330164105814,0.11782235851662926,0.09274058198688673,Crime,C3-P1
LLM,C3,P2,4,0.03327570528371382,0.02610836875930067,0.04335332637786782,0.07475695973705493,0.06496664031325472,Crime,C3-P2
LLM,C4,P0,4,0.027038165791539476,0.015111191111775613,0.047818043224958195,0.04955076293832994,0.031239939702411124,Crime,C4-P0
LLM,C4,P1,4,0.04446027031984154,0.033735241801014504,0.05331700996377631,0.07798628908668137,0.07105865418413493,Crime,C4-P1
LLM,C4,P2,4,0.043870653863534226,0.02641360978995111,0.06225959660406866,0.07875114365033381,0.06248379275565952,Crime,C4-P2
SB,SB,SB,2,0.021257864321136577,0.02125786432113652,0.021257864321136632,0.08412766369355562,0.08412766369355562,DRUG TESTING,SB
LLM,C1,P0,2,0.0579136657771292,0.0579136657771292,0.0579136657771292,0.22494667774102717,0.22494667774102717,Drug Testing,C1-P0
LLM,C2,P0,2,0.032149587453041084,0.032149587453041084,0.032149587453041084,0.12653115786536318,0.12653115786536318,Drug Testing,C2-P0
LLM,C2,P1,2,0.03095971014147947,0.030959710141479357,0.03095971014147958,0.1219218332618287,0.1219218332618287,Drug Testing,C2-P1
LLM,C2,P2,2,0.024729657546268324,0.024729657546268324,0.024729657546268324,0.0976955182603616,0.0976955182603616,Drug Testing,C2-P2
LLM,C3,P0,2,0.045899318608409956,0.0458993186084099,0.04589931860841001,0.17938377953620777,0.17938377953620777,Drug Testing,C3-P0
LLM,C3,P1,2,0.052957886889834105,0.05295788688983405,0.05295788688983416,0.20622247199166321,0.20622247199166321,Drug Testing,C3-P1
LLM,C3,P2,2,0.023725611953128056,0.023725611953128056,0.023725611953128056,0.09377663848741158,0.09377663848741158,Drug Testing,C3-P2
LLM,C4,P0,2,0.08750078405088318,0.08750078405088313,0.08750078405088324,0.3346903617844941,0.3346903617844941,Drug Testing,C4-P0
LLM,C4,P1,2,0.023738189446107283,0.023738189446107283,0.023738189446107283,0.0938257545080714,0.0938257545080714,Drug Testing,C4-P1
LLM,C4,P2,2,0.03860612143201608,0.03860612143201603,0.03860612143201614,0.1514436205040175,0.1514436205040175,Drug Testing,C4-P2
SB,SB,SB,5,0.038372150950534145,0.0239526764762944,0.06949774451936475,0.07078122988212616,0.05462121092330352,FAMILY FINANCE,SB
LLM,C1,P0,5,0.06807163155364049,0.04015444682796021,0.11243736489870737,0.12838432981303302,0.11445815070572729,Family Finance,C1-P0
LLM,C1,P1,3,0.047952607281240844,0.04465609266500603,0.05304215791079803,0.13242471147369392,0.12587216280517954,Family Finance,C1-P1
LLM,C2,P0,5,0.046945449034314815,0.038906579953925324,0.06679392554306418,0.08404205766972339,0.0783478911388904,Family Finance,C2-P0
