condition,source,architecture,prompt_level,n_conversations,mean_ADI,mean_social_rate,mean_topic_health,mean_reciprocity,mean_TSI_proxy,mean_CAS
C1-P0,LLM,C1,P0,50,0.1402625904623506,1.0255998023067523,0.6537875801273892,0.7684551837051837,85.53742258042286,0.09937126005481935
C1-P1,LLM,C1,P1,27,0.18356486723789786,1.2361821051707533,0.660672798770494,0.8303484581262359,87.28126713455231,0.07540705754905827
C2-P0,LLM,C2,P0,50,0.14982954545454547,0.5141477272727273,0.6121590909090909,0.8694318181818181,72.73778409090909,0.12777578456829072
C2-P1,LLM,C2,P1,50,0.09686956065617984,0.8240042996358964,0.3362944999722361,0.7920697635697636,79.3758767419695,0.07890356481214522
C2-P2,LLM,C2,P2,50,0.08852956438985851,0.8756597981267099,0.31673542797072207,0.7757566045066046,80.2355377955378,0.07535088003367937
C3-P0,LLM,C3,P0,50,0.10310447819501516,0.4853581474001958,0.3888942240241703,0.7754734987234987,68.77651723702498,0.0792353993333754
C3-P1,LLM,C3,P1,50,0.08915833430739205,0.6324243691184901,0.3082399008872155,0.7495181485181485,72.82630359952101,0.07978836735952326
C3-P2,LLM,C3,P2,50,0.10348677537591677,0.572818724169947,0.34329266092646304,0.7962975080475081,71.82036273176502,0.084725510441935
C4-P0,LLM,C4,P0,50,0.08267971348574797,0.3815523772204807,0.3801311152046179,0.8023995171495172,66.13664186060964,0.06930277858164259
C4-P1,LLM,C4,P1,50,0.08325654465406537,0.5914888157605126,0.2636584242155749,0.7735105727605728,71.7274906326335,0.07306752634743317
C4-P2,LLM,C4,P2,50,0.08013239342989924,0.5287760366411788,0.21174164151094974,0.7461580086580086,68.54442803496345,0.06825171345756899
SB,SB,SB,SB,50,0.05318345201633247,1.052938388050387,-0.3567923482941356,0.8566960716602153,80.37666941460816,0.003764610722967359
